Field,Journal Title,AJG 2024,AJG 2021,Citescore rank,SNIP rank,SJR rank,JIF rank,SDG content (2017-21),International co-authorship (2017-21),Academic-non-academic collaborations (2017-21),Citations policy docs (2017-21),,,,,,,,,,,
STRAT,Negotiation and Conflict Management Research,1,,16,17,13,8,14%,44%,10%,0.065,,,,,,,,,,,
STRAT,Revista Brasileira de Gestão de Negócios,1,,24,22,24,9,27%,23%,18%,0.043,,,,,,,,,,,
STRAT,Strategy and Leadership,1,1,22,21,22,,20%,23%,7%,0.042,Journal Title,AJG 2024,AJG 2021,Citescore rank,SNIP rank,SJR rank,JIF rank,SDG content (2017-21),International co-authorship (2017-21),Academic-non-academic collaborations (2017-21),Citations policy docs (2017-21)
ACCOUNT,Accounting Review,4*,4*,4,3,3,3,25%,43%,8%,0.424,,,,,,,,,,,
ACCOUNT,Accounting Organizations and Society,4*,4*,7,7,6,6,26%,51%,6%,0.172,,,,,,,,,,,
ACCOUNT,Journal of Accounting and Economics,4*,4*,2,2,2,1,30%,38%,8%,0.963,,,,,,,,,,,
ACCOUNT,Journal of Accounting Research,4*,4*,1,1,1,2,26%,43%,8%,0.784,,,,,,,,,,,
ACCOUNT,Contemporary Accounting Research,4,4,14,8,5,12,22%,43%,13%,0.229,,,,,,,,,,,
ACCOUNT,Review of Accounting Studies,4,4,12,5,4,13,21%,43%,7%,0.523,,,,,,,,,,,
ACCOUNT,Abacus,3,3,21,29,30,26,28%,44%,10%,0.257,,,,,,,,,,,
ACCOUNT,Accounting and Business Research,3,3,18,16,19,19,32%,52%,4%,0.194,,,,,,,,,,,
ACCOUNT,Accounting Forum,3,3,15,20,21,11,52%,51%,12%,0.198,,,,,,,,,,,
ACCOUNT,Accounting Horizons,3,3,22,18,13,21,14%,27%,8%,0.104,,,,,,,,,,,
ACCOUNT,Accounting Auditing and Accountability Journal,3,3,8,13,10,7,54%,52%,7%,0.215,,,,,,,,,,,
ACCOUNT,Auditing,3,3,11,11,7,10,13%,34%,12%,0.069,,,,,,,,,,,
ACCOUNT,Behavioral Research in Accounting,3,3,38,36,22,,10%,22%,7%,0.03,,,,,,,,,,,
ACCOUNT,British Accounting Review,3,3,6,10,14,5,45%,44%,4%,0.301,,,,,,,,,,,
ACCOUNT,British Tax Review,3,3,76,54,72,,48%,33%,0%,0,,,,,,,,,,,
ACCOUNT,Critical Perspectives on Accounting,3,3,5,9,8,9,46%,47%,5%,0.259,,,,,,,,,,,
ACCOUNT,European Accounting Review,3,3,17,15,16,18,29%,54%,5%,0.29,,,,,,,,,,,
ACCOUNT,Financial Accountability and Management,3,3,24,25,27,,32%,35%,8%,0.164,,,,,,,,,,,
ACCOUNT,Foundations and Trends in Accounting,3,3,47,21,18,,27%,86%,0%,0.4,,,,,,,,,,,
ACCOUNT,International Journal of Accounting,3,3,27,33,41,,27%,54%,5%,0.091,,,,,,,,,,,
ACCOUNT,Journal of Accounting and Public Policy,3,3,16,14,12,14,34%,39%,6%,0.398,,,,,,,,,,,
ACCOUNT,Journal of Accounting Literature,3,3,10,4,15,,6%,33%,3%,0.353,,,,,,,,,,,
ACCOUNT,Journal of Accounting Auditing and Finance,3,3,40,26,29,,23%,46%,4%,0.042,,,,,,,,,,,
ACCOUNT,Journal of Business Finance and Accounting,3,3,26,17,17,23,28%,51%,9%,0.136,,,,,,,,,,,
ACCOUNT,Journal of Financial Reporting,3,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Journal of International Accounting Auditing and Taxation,3,3,29,27,37,,45%,50%,9%,0.076,,,,,,,,,,,
ACCOUNT,Journal of the American Taxation Association,3,3,37,38,9,,59%,21%,6%,0.294,,,,,,,,,,,
ACCOUNT,Management Accounting Research,3,3,3,6,11,4,19%,55%,7%,0.035,,,,,,,,,,,
ACCOUNT,Accounting and Finance,2,2,28,31,33,25,36%,38%,12%,0.101,,,,,,,,,,,
ACCOUNT,Accounting and the Public Interest,2,2,64,68,62,,53%,16%,7%,0,,,,,,,,,,,
ACCOUNT,Accounting in Europe,2,2,39,48,40,,18%,54%,9%,0.1,,,,,,,,,,,
ACCOUNT,Accounting Research Journal,2,2,60,61,56,,50%,38%,6%,0.054,,,,,,,,,,,
ACCOUNT,Accounting Economics and Law: A Convivium,2,2,61,55,63,,50%,44%,15%,0.12,,,,,,,,,,,
ACCOUNT,Advances in Accounting,2,2,50,50,50,,17%,14%,4%,0.021,,,,,,,,,,,
ACCOUNT,Advances in Accounting Behavioral Research,2,2,71,72,73,,14%,4%,0%,0.034,,,,,,,,,,,
ACCOUNT,Advances in Management Accounting,2,2,58,62,61,,33%,19%,8%,0.026,,,,,,,,,,,
ACCOUNT,Advances in Taxation,2,2,67,69,76,,79%,11%,2%,0.262,,,,,,,,,,,
ACCOUNT,Asia-Pacific Journal of Accounting and Economics,2,2,59,58,64,31,39%,39%,9%,0.011,,,,,,,,,,,
ACCOUNT,Asian Review of Accounting,2,2,49,42,55,,55%,39%,7%,0.022,,,,,,,,,,,
ACCOUNT,Australian Accounting Review,2,2,34,43,39,29,38%,31%,6%,0.169,,,,,,,,,,,
ACCOUNT,China Journal of Accounting Research,2,2,44,24,34,,61%,13%,9%,0.222,,,,,,,,,,,
ACCOUNT,Current Issues in Auditing,2,2,64,66,51,,8%,11%,2%,0,,,,,,,,,,,
ACCOUNT,International Journal of Accounting and Information Management,2,2,31,30,42,,42%,49%,9%,0.046,,,,,,,,,,,
ACCOUNT,International Journal of Accounting Information Systems,2,2,9,12,25,17,18%,41%,17%,0.115,,,,,,,,,,,
ACCOUNT,International Journal of Accounting Auditing and Performance Evaluation,2,2,68,73,74,,41%,32%,9%,0,,,,,,,,,,,
ACCOUNT,International Journal of Auditing,2,2,42,35,35,22,18%,41%,6%,0.069,,,,,,,,,,,
ACCOUNT,International Journal of Disclosure and Governance,2,2,56,57,60,,58%,27%,11%,0.01,,,,,,,,,,,
ACCOUNT,International Journal of Managerial and Financial Accounting,2,2,43,52,57,,47%,52%,18%,0,,,,,,,,,,,
ACCOUNT,Journal of Accounting and Organizational Change,2,2,51,49,46,,39%,35%,8%,0.007,,,,,,,,,,,
ACCOUNT,Journal of Accounting in Emerging Economies,2,2,53,46,43,,81%,56%,10%,0.022,,,,,,,,,,,
ACCOUNT,Journal of Applied Accounting Research,2,2,46,45,48,,43%,47%,10%,0.065,,,,,,,,,,,
ACCOUNT,Journal of Contemporary Accounting and Economics,2,2,35,32,31,15,40%,55%,7%,0.024,,,,,,,,,,,
ACCOUNT,Journal of Forensic Accounting Research,2,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Journal of International Accounting Research,2,2,55,53,45,,30%,63%,13%,0.043,,,,,,,,,,,
ACCOUNT,Journal of International Financial Management and Accounting,2,2,25,19,32,24,43%,50%,3%,0.35,,,,,,,,,,,
ACCOUNT,Journal of Management Accounting Research,2,2,29,37,20,,20%,37%,4%,0.043,,,,,,,,,,,
ACCOUNT,Journal of Management Control,2,2,23,44,35,,19%,21%,3%,0,,,,,,,,,,,
ACCOUNT,Journal of Public Budgeting Accounting and Financial Management,2,2,62,60,53,,41%,31%,6%,0.219,,,,,,,,,,,
ACCOUNT,Journal of Tax Administration,2,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Managerial Auditing Journal,2,2,33,39,44,20,39%,29%,9%,0.055,,,,,,,,,,,
ACCOUNT,Qualitative Research in Accounting and Management,2,2,41,51,38,28,33%,42%,5%,0.064,,,,,,,,,,,
ACCOUNT,Sustainability Accounting Management and Policy Journal,2,2,19,41,26,,90%,37%,13%,0.116,,,,,,,,,,,
ACCOUNT,Accounting Finance & Governance Review,1,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Advances in Environmental Accounting and Management,1,1,64,77,70,,100%,15%,0%,0,,,,,,,,,,,
ACCOUNT,Advances in Public Interest Accounting,1,1,74,76,67,,35%,0%,6%,0,,,,,,,,,,,
ACCOUNT,African Journal of Accounting Auditing and Finance,1,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Asian Journal of Accounting Research,1,,31,28,65,,58%,14%,13%,0.076,,,,,,,,,,,
ACCOUNT,ATA Journal of Legal Tax Research,1,1,78,71,78,,58%,0%,0%,0.053,,,,,,,,,,,
ACCOUNT,Australasian Accounting Business and Finance Journal,1,1,44,47,58,,68%,24%,10%,0.049,,,,,,,,,,,
ACCOUNT,China Journal of Accounting Studies,1,1,77,75,71,,72%,4%,9%,0,,,,,,,,,,,
ACCOUNT,Comptabilite Controle Audit,1,1,68,70,66,32,21%,14%,20%,0,,,,,,,,,,,
ACCOUNT,EDPACS,1,1,75,74,77,,14%,17%,12%,0.01,,,,,,,,,,,
ACCOUNT,International Journal of Critical Accounting,1,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Journal of Accounting and Management Information Systems,1,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Journal of Accounting and Taxation,1,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Journal of Forensic and Investigative Accounting,1,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Journal of Governmental & Non-Profit Accounting,1,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Journal of Information Systems,1,1,20,23,24,16,7%,20%,5%,0.138,,,,,,,,,,,
ACCOUNT,Journal of Islamic Accounting and Business Research,1,1,54,54,63,,63%,44%,15%,0.024,,,,,,,,,,,
ACCOUNT,Management Accounting Frontiers,1,,,,,,,,,,,,,,,,,,,,
ACCOUNT,Meditari Accountancy Research,1,1,12,34,23,,64%,42%,8%,0.065,,,,,,,,,,,
ACCOUNT,Pacific Accounting Review,1,1,52,59,52,,62%,40%,8%,0.035,,,,,,,,,,,
ACCOUNT,Research on Professional Responsibility and Ethics in Accounting,1,1,71,56,75,,31%,7%,6%,0.029,,,,,,,,,,,
ACCOUNT,Revista Contabilidade & Finanças,1,,70,65,68,,41%,10%,22%,0.053,,,,,,,,,,,
ACCOUNT,Revista de Contabilidad-Spanish Accounting Review,1,1,36,40,47,27,36%,13%,10%,0.041,,,,,,,,,,,
ACCOUNT,Revista Espanola de Financiacion y Contabilidad,1,1,57,64,59,30,31%,21%,3%,0.02,,,,,,,,,,,
ACCOUNT,Social and Environmental Accountability Journal,1,1,48,67,48,,69%,37%,6%,0.071,,,,,,,,,,,
ACCOUNT,South African Journal of Accounting Research,1,1,63,63,69,,73%,14%,6%,0.083,,,,,,,,,,,
ACCOUNT,World Tax Journal,1,1,71,22,28,,79%,50%,13%,0.089,,,,,,,,,,,
BUS HIST & ECON HIST,Business History,4,4,5,9,7,7,42%,42%,11%,0.168,,,,,,,,,,,
BUS HIST & ECON HIST,Business History Review,4,4,13,4,6,5,45%,48%,5%,0.268,,,,,,,,,,,
BUS HIST & ECON HIST,Economic History Review,4,4,3,2,3,3,57%,39%,8%,0.536,,,,,,,,,,,
BUS HIST & ECON HIST,Enterprise and Society,3,3,17,11,13,10,34%,34%,3%,0.07,,,,,,,,,,,
BUS HIST & ECON HIST,European Review of Economic History,3,3,8,6,4,6,49%,50%,17%,0.822,,,,,,,,,,,
BUS HIST & ECON HIST,Explorations in Economic History,3,3,2,3,2,2,65%,47%,25%,2.317,,,,,,,,,,,
BUS HIST & ECON HIST,Journal of Economic History,3,3,1,1,1,1,49%,60%,24%,2.599,,,,,,,,,,,
BUS HIST & ECON HIST,Accounting Historians Journal,2,2,18,21,20,,18%,17%,3%,0.015,,,,,,,,,,,
BUS HIST & ECON HIST,Accounting History,2,2,7,20,9,,21%,31%,12%,0.064,,,,,,,,,,,
BUS HIST & ECON HIST,Accounting History Review,2,2,6,13,16,,20%,25%,2%,0.055,,,,,,,,,,,
BUS HIST & ECON HIST,Australian Economic History Review,2,2,21,19,19,12,44%,44%,6%,0.309,,,,,,,,,,,
BUS HIST & ECON HIST,Cliometrica,2,2,4,7,5,8,63%,36%,30%,1.061,,,,,,,,,,,
BUS HIST & ECON HIST,Economic History of Developing Regions,2,,14,18,8,,84%,42%,15%,0.475,,,,,,,,,,,
BUS HIST & ECON HIST,Entreprises et Histoire,2,2,26,25,24,,1%,21%,32%,0.024,,,,,,,,,,,
BUS HIST & ECON HIST,Essays in Economic and Business History,2,2,,,,,,,,,,,,,,,,,,,
BUS HIST & ECON HIST,European Journal of the History of Economic Thought,2,2,15,12,10,14,24%,27%,21%,0.137,,,,,,,,,,,
BUS HIST & ECON HIST,Financial History Review,2,2,23,16,21,,51%,39%,15%,0.212,,,,,,,,,,,
BUS HIST & ECON HIST,Journal of the History of Economic Thought,2,2,9,15,11,13,17%,53%,15%,0.142,,,,,,,,,,,
BUS HIST & ECON HIST,Journal of Transport History,2,2,24,23,23,,57%,32%,7%,0.063,,,,,,,,,,,
BUS HIST & ECON HIST,Labor History,2,2,22,14,14,11,60%,34%,6%,0.115,,,,,,,,,,,
BUS HIST & ECON HIST,Management and Organizational History,2,2,11,22,15,4,33%,47%,12%,0.073,,,,,,,,,,,
BUS HIST & ECON HIST,Historical Studies in Industrial Relations,1,1,25,26,27,,19%,0%,5%,0,,,,,,,,,,,
BUS HIST & ECON HIST,Irish Economic and Social History,1,1,18,5,25,,32%,50%,9%,0.118,,,,,,,,,,,
BUS HIST & ECON HIST,Journal of European Economic History,1,1,28,27,26,,42%,33%,5%,0,,,,,,,,,,,
BUS HIST & ECON HIST,Journal of Historical Research in Marketing,1,1,20,24,22,,24%,19%,7%,0.01,,,,,,,,,,,
BUS HIST & ECON HIST,Journal of Management History,1,1,10,17,17,,35%,34%,3%,0.054,,,,,,,,,,,
BUS HIST & ECON HIST,Revista de Historia Economica,1,1,12,8,12,9,65%,41%,19%,0.247,,,,,,,,,,,
BUS HIST & ECON HIST,Scandinavian Economic History Review,1,1,15,10,18,,47%,38%,7%,0.277,,,,,,,,,,,
BUS HIST & ECON HIST,Zeitschrift für Unternehmensgeschichte,1,1,27,,,,,0%,0%,0,,,,,,,,,,,
ECON,American Economic Review,4*,4*,3,5,4,4,41%,47%,42%,27.75,,,,,,,,,,,
ECON,Annals of Statistics,4*,4*,30,21,19,27,2%,42%,18%,0.276,,,,,,,,,,,
ECON,Econometrica,4*,4*,12,6,3,11,25%,49%,39%,12.986,,,,,,,,,,,
ECON,Journal of Political Economy,4*,4*,5,4,2,5,41%,50%,56%,23.503,,,,,,,,,,,
ECON,Quarterly Journal of Economics,4*,4*,1,1,1,1,58%,47%,65%,52.657,,,,,,,,,,,
ECON,Review of Economic Studies,4*,4*,19,9,5,10,42%,50%,44%,15.636,,,,,,,,,,,
ECON,American Economic Journal: Applied Economics,4,4,7,10,6,9,64%,55%,44%,20.6,,,,,,,,,,,
ECON,American Economic Journal: Macroeconomics,4,4,18,12,7,22,61%,51%,53%,19.176,,,,,,,,,,,
ECON,Biometrika,4,4,97,53,36,69,11%,41%,17%,0.092,,,,,,,,,,,
ECON,Econometric Theory,4,4,144,79,46,141,2%,65%,15%,0.632,,,,,,,,,,,
ECON,Economic Journal,4,4,28,25,22,35,48%,62%,36%,8.51,,,,,,,,,,,
ECON,International Economic Review,4,4,111,57,39,96,40%,68%,37%,3.047,,,,,,,,,,,
ECON,Journal of Business and Economic Statistics,4,4,42,26,28,38,17%,67%,25%,5.537,,,,,,,,,,,
ECON,Journal of Econometrics,4,4,67,36,26,58,11%,66%,27%,3.515,,,,,,,,,,,
ECON,Journal of Economic Literature,4,4,4,3,9,3,41%,40%,34%,20.637,,,,,,,,,,,
ECON,Journal of Economic Perspectives,4,4,2,2,12,2,25%,41%,45%,29.232,,,,,,,,,,,
ECON,Journal of Economic Theory,4,4,134,82,37,137,15%,62%,26%,0.824,,,,,,,,,,,
ECON,Journal of International Economics,4,4,46,27,29,39,60%,65%,49%,11.065,,,,,,,,,,,
ECON,Journal of Labor Economics,4,4,21,17,8,18,65%,46%,50%,17.279,,,,,,,,,,,
ECON,Journal of Monetary Economics,4,4,45,29,18,36,60%,55%,49%,11.237,,,,,,,,,,,
ECON,Journal of the American Statistical Association,4,4,34,22,24,30,18%,40%,23%,0.866,,,,,,,,,,,
ECON,Journal of the European Economic Association,4,4,33,19,14,25,58%,64%,33%,13.06,,,,,,,,,,,
ECON,Journal of the Royal Statistical Society Series B,4,4,20,14,16,20,9%,45%,23%,0.305,,,,,,,,,,,
ECON,Quantitative Economics,4,4,109,73,25,111,34%,53%,43%,3.831,,,,,,,,,,,
ECON,RAND Journal of Economics,4,4,103,51,33,82,14%,57%,29%,2.621,,,,,,,,,,,
ECON,Review of Economics and Statistics,4,4,16,11,11,15,53%,48%,40%,15.376,,,,,,,,,,,
ECON,Theoretical Economics,4,4,104,38,21,104,9%,62%,17%,0.636,,,,,,,,,,,
ECON,American Economic Journal: Economic Policy,3,3,11,15,10,16,56%,40%,45%,14.853,,,,,,,,,,,
ECON,American Economic Journal: Microeconomics,3,3,75,44,23,93,15%,56%,25%,2.462,,,,,,,,,,,
ECON,American Economic Review: Insights,3,3,19,,,,,,,,,,,,,,,,,,
ECON,American Journal of Agricultural Economics,3,3,37,45,55,44,70%,17%,23%,3.316,,,,,,,,,,,
ECON,Annual Review of Economics,3,3,25,16,13,14,44%,46%,44%,13.828,,,,,,,,,,,
ECON,Brookings Papers on Economic Activity,3,3,88,178,82,,82%,27%,30%,23.519,,,,,,,,,,,
ECON,Cambridge Journal of Economics,3,3,70,54,106,87,47%,37%,13%,1.246,,,,,,,,,,,
ECON,Canadian Journal of Economics,3,3,228,232,126,184,55%,48%,27%,1.8,,,,,,,,,,,
ECON,Computational Statistics and Data Analysis,3,3,108,93,99,132,11%,43%,20%,0.048,,,,,,,,,,,
ECON,Ecological Economics,3,3,13,52,59,17,84%,45%,38%,2.052,,,,,,,,,,,
ECON,Econometric Reviews,3,3,128,89,80,140,8%,62%,18%,0.558,,,,,,,,,,,
ECON,Econometrics Journal,3,3,72,48,38,85,16%,56%,21%,2.638,,,,,,,,,,,
ECON,Economic Development and Cultural Change,3,3,122,106,57,90,76%,53%,43%,4.178,,,,,,,,,,,
ECON,Economic Inquiry,3,3,146,150,110,139,46%,47%,25%,1.977,,,,,,,,,,,
ECON,Economic Policy,3,3,14,18,31,24,74%,70%,58%,19.038,,,,,,,,,,,
ECON,Economic Theory,3,3,164,119,60,175,21%,60%,20%,0.331,,,,,,,,,,,
ECON,Economica,3,3,116,75,53,107,56%,50%,34%,4.948,,,,,,,,,,,
ECON,Economics Letters,3,3,160,209,139,151,31%,46%,21%,1.17,,,,,,,,,,,
ECON,Energy Economics,3,3,10,43,49,13,69%,48%,26%,1.106,,,,,,,,,,,
ECON,Environmental and Resource Economics,3,3,57,123,89,65,78%,45%,35%,2.426,,,,,,,,,,,
ECON,European Economic Review,3,3,88,70,51,75,58%,65%,42%,4.837,,,,,,,,,,,
ECON,European Review of Agricultural Economics,3,3,49,66,90,52,58%,46%,38%,2.131,,,,,,,,,,,
ECON,Experimental Economics,3,3,63,69,50,73,13%,63%,26%,1.718,,,,,,,,,,,
ECON,Games and Economic Behavior,3,3,178,138,54,161,7%,60%,21%,0.492,,,,,,,,,,,
ECON,Health Economics,3,3,53,87,74,62,55%,43%,33%,2.021,,,,,,,,,,,
ECON,IMF Economic Review,3,3,79,42,41,55,68%,54%,57%,15.189,,,,,,,,,,,
ECON,International Journal of Industrial Organization,3,3,157,121,100,150,23%,58%,35%,1.179,,,,,,,,,,,
ECON,International Statistical Review,3,3,71,47,82,64,13%,46%,30%,0.428,,,,,,,,,,,
ECON,Journal of Agricultural Economics,3,3,44,61,95,47,68%,40%,22%,2.477,,,,,,,,,,,
ECON,Journal of Applied Econometrics,3,3,54,40,40,51,33%,63%,37%,3.902,,,,,,,,,,,
ECON,Journal of Comparative Economics,3,3,75,64,91,67,74%,66%,35%,2.394,,,,,,,,,,,
ECON,Journal of Computational and Graphical Statistics,3,3,66,62,45,66,9%,34%,19%,0.151,,,,,,,,,,,
ECON,Journal of Development Economics,3,3,41,30,35,33,88%,64%,44%,8.176,,,,,,,,,,,
ECON,Journal of Economic Behavior and Organization,3,3,137,120,77,88,38%,56%,29%,1.608,,,,,,,,,,,
ECON,Journal of Economic Dynamics and Control,3,3,124,112,79,122,48%,60%,32%,1.937,,,,,,,,,,,
ECON,Journal of Economic Growth,3,3,14,7,20,7,75%,69%,39%,5.754,,,,,,,,,,,
ECON,Journal of Environmental Economics and Management,3,3,26,35,44,23,75%,51%,33%,5.191,,,,,,,,,,,
ECON,Journal of Health Economics,3,3,35,39,43,31,59%,48%,44%,4.633,,,,,,,,,,,
ECON,Journal of Human Capital,3,3,180,102,83,138,70%,41%,33%,6.854,,,,,,,,,,,
ECON,Journal of Human Resources,3,3,17,13,15,12,65%,34%,31%,12.518,,,,,,,,,,,
ECON,Journal of Industrial Economics,3,3,201,160,104,156,21%,45%,30%,1.048,,,,,,,,,,,
ECON,Journal of Institutional Economics,3,3,99,100,134,110,39%,47%,13%,0.609,,,,,,,,,,,
ECON,Journal of Law and Economics,3,3,155,85,67,95,38%,42%,13%,2.619,,,,,,,,,,,
ECON,Journal of Law Economics and Organization,3,3,138,83,70,120,36%,47%,22%,2.295,,,,,,,,,,,
ECON,Journal of Legal Studies,3,3,195,173,135,127,31%,25%,8%,0.45,,,,,,,,,,,
ECON,Journal of Mathematical Economics,3,3,267,220,128,234,14%,58%,25%,0.102,,,,,,,,,,,
ECON,Journal of Multivariate Analysis,3,3,155,140,85,164,4%,46%,20%,0.036,,,,,,,,,,,
ECON,Journal of Population Economics,3,3,65,56,63,68,74%,61%,38%,4.98,,,,,,,,,,,
ECON,Journal of Public Economics,3,3,48,31,27,42,62%,54%,50%,10.533,,,,,,,,,,,
ECON,Journal of Risk and Uncertainty,3,3,95,80,56,80,31%,59%,34%,1.948,,,,,,,,,,,
ECON,Journal of the Association of Environmental and Resource Economists,3,3,22,34,30,21,77%,32%,32%,6.935,,,,,,,,,,,
ECON,Journal of the Royal Statistical Society Series A,3,3,60,50,72,70,28%,42%,28%,0.997,,,,,,,,,,,
ECON,Journal of the Royal Statistical Society Series C,3,3,107,127,86,119,31%,36%,29%,0.154,,,,,,,,,,,
ECON,Journal of Time Series Analysis,3,3,208,113,93,167,3%,57%,17%,0.244,,,,,,,,,,,
ECON,Journal of Urban Economics,3,3,39,32,42,37,73%,48%,43%,7.017,,,,,,,,,,,
ECON,Labour Economics,3,3,143,105,71,109,79%,51%,41%,6.929,,,,,,,,,,,
ECON,Land Economics,3,3,85,131,115,81,59%,35%,37%,0.899,,,,,,,,,,,
ECON,Oxford Bulletin of Economics and Statistics,3,3,140,84,88,117,45%,52%,31%,4.543,,,,,,,,,,,
ECON,Oxford Economic Papers,3,3,172,154,143,153,61%,55%,33%,2.661,,,,,,,,,,,
ECON,Public Choice,3,3,163,130,129,144,35%,35%,21%,1.489,,,,,,,,,,,
ECON,Real Estate Economics,3,3,115,49,68,100,40%,37%,15%,1.089,,,,,,,,,,,
ECON,Review of Economic Dynamics,3,3,99,71,32,98,69%,61%,35%,5.289,,,,,,,,,,,
ECON,Review of Income and Wealth,3,3,111,74,103,123,76%,44%,35%,5.675,,,,,,,,,,,
ECON,Scandinavian Journal of Economics,3,3,127,125,73,133,62%,50%,27%,3.992,,,,,,,,,,,
ECON,Scandinavian Journal of Statistics,3,3,185,139,78,171,9%,55%,28%,0.067,,,,,,,,,,,
ECON,Social Choice and Welfare,3,3,225,207,171,226,19%,64%,29%,0.366,,,,,,,,,,,
ECON,World Bank Economic Review,3,3,74,60,69,83,87%,56%,50%,8.274,,,,,,,,,,,
ECON,Advances in Econometrics,2,2,149,124,105,,19%,44%,29%,1.164,,,,,,,,,,,
ECON,Agricultural Economics,2,2,60,81,75,46,80%,46%,35%,2.522,,,,,,,,,,,
ECON,American Journal of Health Economics,2,,87,155,58,114,56%,17%,36%,3.611,,,,,,,,,,,
ECON,American Law and Economics Review,2,2,209,159,130,180,28%,29%,20%,0.308,,,,,,,,,,,
ECON,Annals of Applied Statistics,2,2,68,128,62,84,35%,30%,31%,0.468,,,,,,,,,,,
ECON,Annals of Economics and Finance,2,2,320,325,309,236,59%,38%,12%,0.009,,,,,,,,,,,
ECON,Annals of Public and Cooperative Economics,2,2,129,177,198,130,61%,35%,17%,0.64,,,,,,,,,,,
ECON,Annual Review of Resource Economics,2,2,29,46,52,32,78%,52%,26%,5.897,,,,,,,,,,,
ECON,Applied Economic Perspectives and Policy,2,2,52,76,92,63,63%,13%,18%,2.223,,,,,,,,,,,
ECON,Applied Economics,2,2,175,216,201,165,58%,42%,20%,0.575,,,,,,,,,,,
ECON,Australian Journal of Agricultural and Resource Economics,2,2,89,170,148,105,72%,40%,27%,1.015,,,,,,,,,,,
ECON,B.E. Journal of Economic Analysis and Policy,2,2,299,305,255,241,64%,35%,25%,0.612,,,,,,,,,,,
ECON,B.E. Journal of Macroeconomics,2,2,290,290,223,244,72%,49%,17%,0.735,,,,,,,,,,,
ECON,B.E. Journal of Theoretical Economics,2,2,327,329,321,250,20%,40%,14%,0.072,,,,,,,,,,,
ECON,Bulletin of Economic Research,2,2,297,300,293,242,45%,41%,18%,0.263,,,,,,,,,,,
ECON,Canadian Journal of Agricultural Economics,2,2,72,133,120,99,61%,37%,22%,0.755,,,,,,,,,,,
ECON,CESifo Economic Studies,2,2,188,250,193,183,68%,44%,38%,4.202,,,,,,,,,,,
ECON,China Economic Review,2,2,50,58,101,43,90%,50%,21%,0.914,,,,,,,,,,,
ECON,Computational Statistics,2,2,218,218,177,187,10%,35%,18%,0.046,,,,,,,,,,,
ECON,Contemporary Economic Policy,2,2,164,197,180,181,63%,27%,20%,1.379,,,,,,,,,,,
ECON,Contributions to Political Economy,2,2,309,88,258,,18%,20%,0%,0,,,,,,,,,,,
ECON,Defence and Peace Economics,2,2,141,142,178,147,56%,36%,21%,1.173,,,,,,,,,,,
ECON,Econ Journal Watch,2,2,288,294,280,246,43%,21%,15%,0,,,,,,,,,,,
ECON,Economic Modelling,2,2,56,77,112,72,67%,45%,24%,1.323,,,,,,,,,,,
ECON,Economic Record,2,2,267,253,262,188,52%,41%,20%,1.418,,,,,,,,,,,
ECON,Economic Systems,2,2,102,110,158,89,78%,53%,31%,0.627,,,,,,,,,,,
ECON,Economic Systems Research,2,2,43,103,96,40,67%,47%,36%,1.161,,,,,,,,,,,
ECON,Economic Theory Bulletin,2,,,,,,,,,,,,,,,,,,,,
ECON,Economics and Human Biology,2,2,69,111,84,74,72%,45%,27%,1.359,,,,,,,,,,,
ECON,Economics and Philosophy,2,2,201,97,145,154,22%,59%,8%,0.204,,,,,,,,,,,
ECON,Economics and Politics,2,2,150,143,114,152,65%,45%,15%,1.591,,,,,,,,,,,
ECON,Economics of Education Review,2,2,92,68,64,79,69%,36%,32%,5.083,,,,,,,,,,,
ECON,Economics of Innovation and New Technology,2,2,99,144,142,59,77%,40%,31%,1.667,,,,,,,,,,,
ECON,Economics of Transition and Institutional Change,2,2,219,248,235,202,81%,49%,22%,0.59,,,,,,,,,,,
ECON,Empirical Economics,2,2,186,185,186,148,55%,47%,24%,1.198,,,,,,,,,,,
ECON,Environment and Development Economics,2,2,119,211,140,112,93%,56%,35%,1.743,,,,,,,,,,,
ECON,European Journal of Health Economics,2,2,50,94,111,54,51%,40%,44%,1.057,,,,,,,,,,,
ECON,European Journal of Political Economy,2,2,84,72,94,86,60%,48%,31%,3.377,,,,,,,,,,,
ECON,Fiscal Studies,2,2,81,99,133,124,77%,40%,48%,8.4,,,,,,,,,,,
ECON,GENEVA Risk and Insurance Review,2,2,229,245,176,217,36%,38%,38%,0.643,,,,,,,,,,,
ECON,German Economic Review,2,2,186,214,206,186,60%,38%,35%,2.715,,,,,,,,,,,
ECON,History of Political Economy,2,2,223,96,165,209,18%,23%,7%,0.189,,,,,,,,,,,
ECON,Information Economics and Policy,2,2,124,135,152,121,39%,39%,37%,2.121,,,,,,,,,,,
